event_id,family,method,param_name,param_value,payload_bytes,payload_kb,effective_bpp,pixels,pixel_accuracy,balanced_accuracy,precision,recall,f1,dice,iou
CRACK500_20160222_081839_1281_361,DEO,L2_visual_mask_support,support_side,32.0,1801.0,1.7587890625,0.07178730867346939,200704,0.9796167490433625,0.8567833340710893,0.7758928571427581,0.7227040513246141,0.7483545544614777,0.7483545544614777,0.5978965991743073
CRACK500_20160222_081839_1281_361,DEO,L2_visual_mask_support,support_side,48.0,1871.0,1.8271484375,0.07457748724489796,200704,0.9852917729591788,0.9090503242579893,0.8238710442099295,0.825828680052177,0.8248487001051003,0.8248487001051003,0.701908512571877
CRACK500_20160222_081839_1281_361,DEO,L2_visual_mask_support,support_side,64.0,1946.0,1.900390625,0.07756696428571429,200704,0.9882463727678523,0.9299622182651528,0.8552662444287057,0.866341927052291,0.860768458450518,0.860768458450518,0.7555693710495538
CRACK500_20160222_081839_1281_361,DEO,L3_residual_refinement,residual_fraction,0.0,2808.0,2.7421875,0.11192602040816327,200704,0.9796167490433625,0.8567833340710893,0.7758928571427581,0.7227040513246141,0.7483545544614777,0.7483545544614777,0.5978965991743073
CRACK500_20160222_081839_1281_361,DEO,L3_residual_refinement,residual_fraction,0.25,3449.0,3.3681640625,0.13747608418367346,200704,0.984718789859689,0.8915398897015869,0.8366473697456787,0.7898301057382927,0.8125649325810458,0.8125649325810458,0.684302624806929
CRACK500_20160222_081839_1281_361,DEO,L3_residual_refinement,residual_fraction,0.5,3901.0,3.8095703125,0.15549266581632654,200704,0.9899503746811176,0.935963811690163,0.8825920612146242,0.8770345728880982,0.8798045403496706,0.8798045403496706,0.7854027024150669
CRACK500_20160222_081839_1281_361,DEO,L3_residual_refinement,residual_fraction,0.75,4290.0,4.189453125,0.17099808673469388,200704,0.9954360650510155,0.9789298553188097,0.9323342939480193,0.9609124391112082,0.9464076756057835,0.9464076756057835,0.8982674366947025
CRACK500_20160222_081839_1281_361,DEO,L3_residual_refinement,residual_fraction,1.0,4823.0,4.7099609375,0.19224330357142858,200704,0.9999999999999951,0.999999999999938,0.9999999999998811,0.9999999999998811,0.9999999994998812,0.9999999994998812,0.9999999999998811
CRACK500_20160222_081839_1281_361,Reference,Full_reference_mask,reference,1.0,25088.0,24.5,1.0,200704,0.9999999999999951,0.999999999999938,0.9999999999998811,0.9999999999998811,0.9999999994998812,0.9999999994998812,0.9999999999998811
CRACK500_20160222_081839_1281_721,DEO,L0_alert,none,0.0,90.0,0.087890625,0.003587372448979592,200704,0.9838169642857094,0.4999999999999975,0.0,0.0,0.0,0.0,0.0
CRACK500_20160222_081839_1281_721,DEO,L1_geometry_metrology,geometry,1.0,996.0,0.97265625,0.03970025510204082,200704,0.779575892857139,0.8879750425409672,0.06839622641509291,0.9999999999996921,0.12803531996845638,0.12803531996845638,0.06839622641509291
CRACK500_20160222_081839_1281_721,DEO,L2_visual_mask_support,support_side,8.0,1112.0,1.0859375,0.04432397959183673,200704,0.9848632812499951,0.6266551919728882,0.5721153846149917,0.25646551724130034,0.35416666623907844,0.35416666623907844,0.21518987341766593
CRACK500_20160222_081839_1281_721,DEO,L2_visual_mask_support,support_side,16.0,1121.0,1.0947265625,0.04468271683673469,200704,0.9891183035714237,0.7761383417762727,0.7087912087909306,0.5560344827584495,0.6231884053041794,0.6231884053041794,0.452631578947255
CRACK500_20160222_081839_1281_721,DEO,L2_visual_mask_support,support_side,24.0,1138.0,1.111328125,0.04536033163265306,200704,0.991749043367342,0.8686233720509942,0.7468982630270636,0.7413793103445994,0.7441285532698634,0.7441285532698634,0.5925196850392243
CRACK500_20160222_081839_1281_721,DEO,L2_visual_mask_support,support_side,32.0,1166.0,1.138671875,0.04647640306122449,200704,0.9937121332908114,0.8927865902555141,0.8166454081630049,0.7884852216746341,0.8023182952392509,0.8023182952392509,0.6698927543812007
CRACK500_20160222_081839_1281_721,DEO,L2_visual_mask_support,support_side,48.0,1214.0,1.185546875,0.04838966836734694,200704,0.9951371173469339,0.9327256495727761,0.8372921615199415,0.8682266009849544,0.8524788386776577,0.8524788386776577,0.7428872497363691
CRACK500_20160222_081839_1281_721,DEO,L2_visual_mask_support,support_side,64.0,1282.0,1.251953125,0.051100127551020405,200704,0.9963378906249951,0.9228887133998319,0.9203747072596452,0.8469827586204289,0.8821548816554614,0.8821548816554614,0.7891566265057978
CRACK500_20160222_081839_1281_721,DEO,L3_residual_refinement,residual_fraction,0.0,2173.0,2.1220703125,0.08661511479591837,200704,0.9937121332908114,0.8927865902555141,0.8166454081630049,0.7884852216746341,0.8023182952392509,0.8023182952392509,0.6698927543812007
